course,term,label,capacity,registered,granted,denied,utilization,status
CMPE263,5,Spring Y3,105,68,68,0,0.6476,open
CMPS351,5,Spring Y3,140,117,117,0,0.8357,open
CMPS405,5,Spring Y3,140,117,117,0,0.8357,open
CMPS323,5,Spring Y3,140,116,116,0,0.8286,open
CMPS493,5,Spring Y3,70,42,42,0,0.6,open
CMPS499,5,Spring Y3,70,43,43,0,0.6143,open
ELEC_1,5,Spring Y3,70,41,41,0,0.5857,open
ELEC_2,5,Spring Y3,70,39,39,0,0.5571,open
ELEC_3,5,Spring Y3,70,43,43,0,0.6143,open
ELEC_4,5,Spring Y3,70,38,38,0,0.5429,open
SUPP_1,5,Spring Y3,105,10,10,0,0.0952,open
SUPP_2,5,Spring Y3,105,16,16,0,0.1524,open
MATH_1,5,Spring Y3,140,12,12,0,0.0857,open
MATH_2,5,Spring Y3,105,90,90,0,0.8571,open
MATH_3,5,Spring Y3,140,92,92,0,0.6571,open
MATH_4,5,Spring Y3,105,33,33,0,0.3143,open
MATH_5,5,Spring Y3,105,80,80,0,0.7619,open
PHYS_1,5,Spring Y3,140,93,93,0,0.6643,open
PHYS_2,5,Spring Y3,70,68,68,0,0.9714,open
CHEM_1,5,Spring Y3,105,70,70,0,0.6667,open
ENGL_1,5,Spring Y3,105,15,15,0,0.1429,open
ENGL_2,5,Spring Y3,70,48,48,0,0.6857,open
GED_1,5,Spring Y3,70,69,69,0,0.9857,open
GED_2,5,Spring Y3,70,50,50,0,0.7143,open
GED_3,5,Spring Y3,70,34,34,0,0.4857,open
GED_4,5,Spring Y3,70,28,28,0,0.4,open
GED_5,5,Spring Y3,70,28,28,0,0.4,open
GED_6,5,Spring Y3,70,37,37,0,0.5286,open
GED_7,5,Spring Y3,70,48,48,0,0.6857,open
CMPS151,6,Fall Y4,105,107,105,2,1.0,oversubscribed
CMPS200,6,Fall Y4,105,101,101,0,0.9619,open
CMPS205,6,Fall Y4,140,106,106,0,0.7571,open
CMPS251,6,Fall Y4,105,50,50,0,0.4762,open
CMPS350,6,Fall Y4,70,68,68,0,0.9714,open
CMPS303,6,Fall Y4,70,76,70,6,1.0,oversubscribed
CMPE263,6,Fall Y4,105,49,49,0,0.4667,open
CMPS380,6,Fall Y4,140,109,109,0,0.7786,open
CMPS310,6,Fall Y4,140,110,110,0,0.7857,open
CMPE355,6,Fall Y4,140,109,109,0,0.7786,open
CMPS493,6,Fall Y4,70,47,47,0,0.6714,open
CMPS499,6,Fall Y4,70,38,38,0,0.5429,open
ELEC_1,6,Fall Y4,70,64,64,0,0.9143,open
ELEC_2,6,Fall Y4,70,68,68,0,0.9714,open
ELEC_3,6,Fall Y4,70,64,64,0,0.9143,open
ELEC_4,6,Fall Y4,70,60,60,0,0.8571,open
SUPP_1,6,Fall Y4,105,102,102,0,0.9714,open
SUPP_2,6,Fall Y4,105,101,101,0,0.9619,open
MATH_1,6,Fall Y4,140,104,104,0,0.7429,open
MATH_2,6,Fall Y4,105,21,21,0,0.2,open
MATH_3,6,Fall Y4,140,23,23,0,0.1643,open
MATH_4,6,Fall Y4,105,81,81,0,0.7714,open
MATH_5,6,Fall Y4,105,36,36,0,0.3429,open
PHYS_1,6,Fall Y4,140,29,29,0,0.2071,open
PHYS_2,6,Fall Y4,70,54,54,0,0.7714,open
CHEM_1,6,Fall Y4,105,45,45,0,0.4286,open
ENGL_1,6,Fall Y4,105,103,103,0,0.981,open
ENGL_2,6,Fall Y4,70,65,65,0,0.9286,open
GED_1,6,Fall Y4,70,37,37,0,0.5286,open
GED_2,6,Fall Y4,70,44,44,0,0.6286,open
GED_3,6,Fall Y4,70,62,62,0,0.8857,open
GED_4,6,Fall Y4,70,59,59,0,0.8429,open
GED_5,6,Fall Y4,70,53,53,0,0.7571,open
GED_6,6,Fall Y4,70,47,47,0,0.6714,open
GED_7,6,Fall Y4,70,41,41,0,0.5857,open
CMPS151,7,Spring Y4,105,21,21,0,0.2,open
CMPS200,7,Spring Y4,105,6,6,0,0.0571,open
CMPS205,7,Spring Y4,140,25,25,0,0.1786,open
CMPS251,7,Spring Y4,105,100,100,0,0.9524,open
CMPS350,7,Spring Y4,70,49,49,0,0.7,open
CMPS303,7,Spring Y4,70,51,51,0,0.7286,open
CMPE263,7,Spring Y4,105,83,83,0,0.7905,open
CMPS351,7,Spring Y4,140,120,120,0,0.8571,open
CMPS405,7,Spring Y4,140,127,127,0,0.9071,open
CMPS323,7,Spring Y4,140,134,134,0,0.9571,open
CMPS493,7,Spring Y4,70,44,44,0,0.6286,open
CMPS499,7,Spring Y4,70,47,47,0,0.6714,open
ELEC_1,7,Spring Y4,70,49,49,0,0.7,open
ELEC_2,7,Spring Y4,70,50,50,0,0.7143,open
ELEC_3,7,Spring Y4,70,41,41,0,0.5857,open
ELEC_4,7,Spring Y4,70,47,47,0,0.6714,open
SUPP_1,7,Spring Y4,105,17,17,0,0.1619,open
SUPP_2,7,Spring Y4,105,14,14,0,0.1333,open
MATH_1,7,Spring Y4,140,18,18,0,0.1286,open
MATH_2,7,Spring Y4,105,88,88,0,0.8381,open
MATH_3,7,Spring Y4,140,91,91,0,0.65,open
MATH_4,7,Spring Y4,105,31,31,0,0.2952,open
